trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
274,False,"{'a': 0.3, 'e': 0.06457034689316847}",25,0,-15.633624996713676,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
275,False,"{'a': 0.3, 'e': 0.06392786120670757}",25,0,-1.1146247527901738,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
276,False,"{'a': 0.3, 'e': 0.0632917683596407}",20,4,16.79989464913827,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
277,False,"{'a': 0.3, 'e': 0.06266200474215315}",35,13,35.82213942060811,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.3, 'e': 0.06203850737735829}",30,13,12.529209336247035,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
279,False,"{'a': 0.3, 'e': 0.06142121391500013}",20,0,22.37405398954101,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
280,False,"{'a': 0.3, 'e': 0.06081006262521795}",25,13,-22.836397836565467,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
281,False,"{'a': 0.3, 'e': 0.06020499239237354}",30,22,1.705705021981093,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
282,False,"{'a': 0.3, 'e': 0.05960594270893937}",30,7,38.696813650300385,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.3, 'e': 0.05901285366944784}",25,13,18.67577253055835,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.3, 'e': 0.05842566596450083}",20,15,9.490058151356525,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.3, 'e': 0.057844320874838456}",20,0,6.444872199238213,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
286,False,"{'a': 0.3, 'e': 0.05726876026546736}",20,6,25.25700124865478,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.3, 'e': 0.0566989265798469}",25,14,3.711470457142215,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
288,False,"{'a': 0.3, 'e': 0.056134762834133725}",25,13,-21.44406873520999,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
289,False,"{'a': 0.3, 'e': 0.05557621261148306}",30,8,37.12640148988709,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.3, 'e': 0.05502322005640723}",20,13,14.885056813118936,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.3, 'e': 0.05447572986918986}",20,0,29.34313525662284,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
292,False,"{'a': 0.3, 'e': 0.05393368730035602}",20,10,18.789060513388417,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.3, 'e': 0.053397038145197084}",30,15,-6.41343978990777,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
294,False,"{'a': 0.3, 'e': 0.05286572873835037}",20,15,-14.081749938612932,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
295,False,"{'a': 0.3, 'e': 0.05233970594843238}",20,14,10.321748124179233,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.3, 'e': 0.05181891717272583}",25,15,21.779200489168005,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.3, 'e': 0.05130331033191911}",30,16,24.23319894161181,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.3, 'e': 0.0507928338648985}",30,13,23.25690232625085,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.3, 'e': 0.050287436723591865}",30,0,34.43563913502191,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
300,False,"{'a': 0.3, 'e': 0.049787068367863944}",20,9,-4.75087362796107,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
301,False,"{'a': 0.3, 'e': 0.04929167876046215}",20,10,15.958752564402403,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.3, 'e': 0.04880121836201296}",25,13,20.455974609927587,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.3, 'e': 0.04831563812606777}",25,18,5.621690961960111,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.3, 'e': 0.04783488949419837}",30,17,25.976521461998193,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.3, 'e': 0.04735892439114091}",20,0,16.70998359200408,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
306,False,"{'a': 0.3, 'e': 0.046887695219988486}",25,14,17.48508672693401,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.3, 'e': 0.04642115485743125}",20,14,11.348239047657655,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.3, 'e': 0.045959256649044204}",30,3,43.485102442851385,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.3, 'e': 0.04550195440462157}",30,19,19.809607387805375,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.3, 'e': 0.0450492023935578}",20,5,26.58508922993829,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.3, 'e': 0.044600955340274535}",20,15,5.97682054389831,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.3, 'e': 0.04415716841969286}",20,7,14.784517960876302,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.3, 'e': 0.04371779725275094}",20,11,15.141738719614956,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.3, 'e': 0.043282797901965896}",20,9,7.352153440297432,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
315,False,"{'a': 0.3, 'e': 0.04285212686704019}",35,12,38.148602662917156,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.3, 'e': 0.042425741080511385}",25,3,12.152734740211038,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
317,False,"{'a': 0.3, 'e': 0.04200359790344555}",25,0,40.306945892774046,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
318,False,"{'a': 0.3, 'e': 0.04158565512117316}",20,1,-17.365831067344576,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
319,False,"{'a': 0.3, 'e': 0.04117187093906774}",20,3,12.373852281337182,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
320,False,"{'a': 0.3, 'e': 0.04076220397836621}",20,10,18.30943579722659,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.3, 'e': 0.04035661327203115}",20,15,10.711079232763634,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.3, 'e': 0.039955058260653896}",25,18,1.5383287137613284,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
323,False,"{'a': 0.3, 'e': 0.039557498788398725}",25,14,18.166967683671057,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.3, 'e': 0.039163895098987066}",20,16,7.134406122286958,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.3, 'e': 0.03877420783172201}",20,8,17.87074349857258,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.3, 'e': 0.038388398017552054}",25,12,6.968668486022054,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
327,False,"{'a': 0.3, 'e': 0.038006427075174314}",25,14,18.13674426417318,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.3, 'e': 0.0376282568071762}",35,19,31.147132696063007,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.3, 'e': 0.03725384939621581}",20,0,29.839271357247256,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
